"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"IS benzoic acid d5",23592072.0736817,20373102.8019648,20445749.7499857,23894150.7651493,26407209.7924336,25088177.1039311,25442952.2658407,23645981.5108731,25025932.7369665,28253276.4603657,28845571.2789635,23502474.2637124,26796836.7840624,25364734.1548608,22703146.9609359,34342791.4127107,22922955.9021967,27785703.7115682,22651207.8623128,25200917.54973,20789520.687524,20695266.379028,22500661.954971,17711894.7042346,18411758.6409177,24107089.2950098,25826181.3525232,20674195.7085463,23649358.2601157,23968154.2832399,30073128.5144657,24713135.0655324,24860463.0841051,24561503.5619325,28361514.6595196,21017953.2704034,31768828.6204581,21914054.1245696,22369473.6356309,21930980.3447282,28826055.6717145,23714368.4976751,27367700.1796945,20577550.7740301,20597671.315479,22255687.0750806,21847584.7388363,25998026.1522004,20311595.2684229,21833904.1664086
"IS citric acid d4",49047208.8674573,41754853.2536228,44662286.370318,52041545.6535276,53388481.8452095,52659865.3424832,52668069.3769056,50715197.9433527,53306776.6506618,57144942.1737022,59090598.9831363,52045985.73729,53347298.4114851,54020839.6878263,48729925.9442079,65495252.640267,48981704.8476945,57696389.5937586,50573499.5201175,51481439.0527362,43703470.3081844,40065950.9658557,46915876.7223195,36836202.022154,41791432.2967487,50161922.1027751,53886762.4351331,39022172.1928794,47945263.0624853,50319068.9011248,59137080.4797606,51147404.3187959,51674914.8940739,49917128.2645916,56882714.377939,46457134.1412258,60403343.3657243,41298982.8343084,48020713.25589,46391347.7515784,57082316.3900551,47159815.0721132,57021083.0494447,43031014.3996402,43034419.4866683,47806419.4463013,43080934.9150555,53737084.9921167,39691965.2419334,43388700.9669671
"IS D-fructose 13C6",44862109.0870001,37330842.7869976,39976563.1571001,49179139.8545166,48750784.9021306,47888457.1610751,50400979.9766278,46945864.2106848,50242569.0886875,52475445.8470898,55960829.9092527,49288738.7662563,48924090.5809022,49252645.42902,44729586.093671,64162803.0363063,44509673.8666409,54309136.4389829,39086504.6158948,48463964.9262229,41773688.9129186,36110404.1684654,42445397.124108,32675278.783035,37318420.563735,45791005.8376576,49625666.8906075,34089840.1357676,43753867.4131236,46379298.8498317,54321285.9787255,46487245.3348939,46520743.1844387,46053417.7562633,53018848.2577941,42217103.1474715,58065396.5907468,35104364.476569,42459026.7601165,41935871.2201002,50966656.183292,42411559.7850549,52357125.2233457,41435472.5544605,37875582.9678806,42317536.2202245,39091567.3778735,49332429.1300126,35525849.1718966,39452220.4931311
"IS glycine-d5 deuterated",38067221.0876737,34268528.4154014,34353133.6287239,40003195.3806238,40334555.8567681,39669510.2113926,41006273.8112187,38803997.6612218,41777869.4071344,42150878.223505,43794394.7267427,42229063.2823677,41174341.9462568,40144589.8831262,37579723.670137,50845889.8916445,37282009.9324447,41751069.2735332,36759018.7202569,38852559.8736611,34743134.3377102,35224056.3909396,36766822.9412609,29247341.2265448,33410437.9468118,37946299.9908213,41989767.3920382,33775853.2411176,37811128.110486,38993578.2468536,44194813.9145954,38234277.1493615,39282023.7633749,38821196.6022688,44508634.3414427,38126477.5335462,45590871.977945,36476470.4079284,36230545.3108301,38330859.2744628,44343500.0103207,36993122.0461923,44004180.1775645,35641394.9985285,36759375.4661062,37533625.8750785,35666144.8489611,38926248.7989671,33894154.3922144,36929224.5048292
"IS L-alanine d7",198163825,183726479,181620149,207659160,213562237,205501172,210541092,198381576,212660218,221294826,227721294,212495746,205817399,208690204,199461258,238298713,192123800,225154396,190051881,201840132,185962517,180194408,194201829,154366356,170654865,189490159,204947445,176299925,193203708,198688351,225697808,196674625,200592811,199614536,213549633,188554895,230060703,185361916,187715557,188231124,213315278,192430083,210215833,177470969,181176542,191233642,182759806,203676431,176180961,184095015
"IS L-lysine d4",835232,581129,619196,929155,778155,786204,976696,1040978,997750,885005,1162610,1248217,959867,996892,885128,1255599,847454,868533,680652,917502,875751,544402,785271,562985,579499,686024,626624,514271,794395,947785,1059849,823104,634169,923031,1240722,880013,1311342,641540,739425,911932,856242,883825,1029094,786316,689088,798317,678817,867472,623313,694794
"IS L-tryptophan d5",10596723.427357,7860072.94552073,8946800.96644766,12258554.0531808,12240802.7693858,11412728.7532142,13270510.0276063,11437094.3994763,14127368.5491816,13422766.9624364,14690996.6277115,13854417.3979926,11943796.9295159,12370863.1485493,10719679.6242054,18111148.0867335,10058378.3752332,13819043.374332,10265391.9836532,12080966.3730938,10058724.1951067,8041045.05452641,9884012.72195627,5690862.72226651,8086130.91629829,11994478.8192528,13140867.3210084,7422222.68744784,12996279.4003006,14133937.0637519,15883080.0416034,12028714.4582873,12495012.3484616,13822653.5625124,17378908.7481521,14199190.3623735,16427961.1339639,6997645.65492423,11780072.323793,13390572.324331,15647900.3046419,12816860.3345887,16467466.8949421,9514838.62976652,9034214.54002419,10688613.962886,9285401.4584321,12362158.0000069,8357652.05448889,10236236.9744463
"IS malonic acid",2667536.82426387,2304979.22443363,2084198.89116587,2671672.10020359,3066683.30135208,3267189.0987157,2592655.13436963,2774450.79066248,2760493.28934727,2580212.41174277,3117355.98816467,2188172.89628773,2547522.85970893,2394683.53903308,2185363.18591541,2514489.01416668,1906613.89710143,2792934.77272204,1687086.19120362,2546675.40373616,1846209.40268921,1442859.75812714,2027786.17487432,1721762.25220956,1670282.5436789,2581861.28432554,2660904.19542615,2077788.56017935,2451209.5267307,2683165.56579755,3200558.82585754,2862249.00884963,2421324.96396026,2818959.55164981,2803195.06570667,1897222.77115323,3190004.28815172,2191893.94000717,2099971.42369015,2364791.91814455,2386505.57638179,2475409.08414064,2421218.48700074,1984111.2609505,1943341.57826563,2223997.13890694,2136680.76112496,2030422.42458972,1925355.99579718,2055389.6858667
"IS octanoic acid d15 ",9623944,6172017,7551236,6110580,13625837,11208543,7086692,8959242,6700000,17414756,10653107,3552358,15664732,10606032,7294521,16792396,10308726,11613956,14756216,12097453,8716296,10986003,8756614,9797524,5079013,15919379,10413202,11853761,16438777,9371684,20623879,15034041,14046321,12167916,14064186,5142458,21692782,9592122,13456707,6628881,15987041,13094176,15353017,13180849,5679999,9930044,10207165,15931102,13433304,11225596
"IS pentadecanoic acid - d3",13983011.3474323,11431667.4468891,11897161.9243747,13075700.1284567,15888554.1542296,16429150.6643718,13236501.0574659,14660651.9433554,12534516.8469829,17042702.6405969,16693922.8342024,14918956.2989516,12899206.8816141,14764672.0862574,13126026.2716671,19348081.4757538,14262799.3243956,17310121.3298714,14992045.0593303,14610690.2175567,12822673.4671676,11654891.1221059,14519927.0495374,11185823.9787578,11791686.7708663,15739160.5482099,17369470.6492961,11363796.4571273,15255204.1885131,13693756.6988105,16883703.6574564,16132297.6488368,14418947.393952,16454092.5245181,15469598.8589574,12228744.0617285,18708377.6797229,11518509.3105364,14137409.0232448,14666779.1022907,15465341.122222,13763969.3570864,16817562.0136115,13579646.4429493,13360070.046916,14273006.664662,14607997.6255381,17504488.4846854,11541816.5676177,12531368.6296483
"L-2-aminoadipic acid",827598.900735614,1336589.65773433,1067400.36192359,888917.461389346,1303651.53364743,879311.178813073,681422.809295948,1165481.79943562,1272285.83984657,1980605.39773222,1041145.96320474,811996.955054424,1141742.95576927,1003508.87770991,744180.177786046,1093092.16180466,1086124.28238418,882637.151674485,1066396.71819251,837344.680384056,782349.552607479,625397.089748024,778920.668735563,503083.116244121,675924.542430487,1186346.32231271,1070739.73421045,930215.379616226,774607.460878974,1035025.87547167,986355.006576432,844568.847528798,1079640.24398108,839160.848474282,1062111.29139409,968563.702700891,1445232.7639888,735928.71545655,1242951.40303568,706401.213274688,1127241.60152851,843001.239018323,1300196.14526878,829519.351552319,734468.567140754,875811.802772976,758190.235314045,1334246.67899188,407959.9900923,856908.265533462
"lactic acid",46747494.862663,57790437.5485282,55810499.1674994,52987534.7592868,59042843.2681779,50281292.8881402,48565147.2205852,45705552.7633842,51663007.7251865,57727352.1541275,45389450.2897502,79265524.333938,54164458.1807187,46643047.2989264,48648706.5019585,56743329.3582726,57956000.7140224,48583519.403846,58408332.0175672,30048250.8299969,55547645.5009538,52117388.6454527,55727311.4891391,34315287.8778177,42132865.1078769,56824958.7374066,58749104.4334222,50835560.956114,37844563.2998412,56712193.9648682,32220321.4488116,53340521.7486183,60832617.5477127,51344591.2991935,61629787.237124,60623800.28226,66044348.6354205,45448606.9152435,49397760.7991582,53787493.3221433,66018912.6515709,48509894.1032459,63380872.1548431,35915919.9112117,65171810.5596771,52208049.3064525,56039156.9913047,47609272.4719023,45620662.7720966,43963758.0846434
"L-alanine",25601138.9944472,27187451.1267535,28387346.1262969,22236829.6808114,36227917.754281,30365675.0245922,23827850.6377602,19835221.724178,31537790.9440999,30461770.2117145,25251203.8960437,26845186.2126614,27552519.151861,28699450.0396093,26474218.9577973,25363430.8003978,22680358.294347,31047870.8692438,29450253.7803747,19074483.1318957,22528219.0500247,19313391.338014,30652663.7584783,17982923.0313612,25992863.9442221,27720352.6156923,31501457.6882614,26633038.154141,23283156.9290488,25463738.2676708,30406401.3063326,32270047.0628713,39427254.4330974,24949736.769931,23996518.7244792,23358500.5164605,33382203.423519,21787943.6059125,27269224.2735117,23564839.8653764,35379334.4678598,25650464.5567691,31620534.8855319,19027383.5192752,31980210.8977319,20013068.4106949,20078109.6252327,29710381.4302965,24485926.2047134,22329627.511816
"L-asparagine ",2634012,2646255,3139226,2810920,3907364,2427703,2259117,2500072,2411020,3462076,2754876,2350171,2294159,2491308,2374110,3346120,2246640,3321353,3118867,1533878,1735787,1575960,2680723,1096481,1448129,2958299,3684913,1594248,2014905,2012549,2096979,3286035,2831768,1890774,2540476,1717734,3654205,1399210,2352888,1353752,2843346,2311587,2942499,1128396,3345834,2340999,1914047,2331345,1288997,1329461
"L-aspartic acid",47563535.7443906,69039502.5470794,75215687.0502667,69059545.7492886,81213375.0600445,60973026.051166,58247187.5305553,63888473.6575398,61460857.9433032,79752259.477825,63676823.8137778,55943155.5959316,49261886.1447861,67087346.197181,53014617.3427641,65529760.6584181,69500308.6287152,73234404.134394,83952231.1430285,63357384.5044894,54688873.0607311,61227890.9652141,62179319.0589393,49016932.7709919,49859254.3566224,74012283.1446917,49184381.758169,57238682.3731041,50857328.7659957,61465801.2079893,56502769.4854396,77723353.3025642,60472562.8234744,52285091.6493263,50026472.5244232,40982335.181941,78785783.8257273,51939013.7684099,68452242.6294463,53917010.6076156,74947260.2410028,53309440.9474867,45897867.6238613,45016363.6147566,78539401.2759524,68171206.022465,61209965.6471527,54543340.7129173,48799576.8045837,61905860.088149
"L-cysteine",9576744.48285676,8222562.19359961,9757600.73237535,8474391.98336274,11593238.2754007,7207150.12839339,6698063.9319767,9312662.77554417,8656198.9694805,10458669.5153133,8175002.17994071,10556601.4108695,9614187.60097852,9130033.84393923,7417226.40593514,8516777.55525041,8730986.40215342,8468001.62998269,8811741.40388663,5623168.70977733,8034044.47073712,5894587.04098468,8780737.33389233,4169298.16518287,6064763.78725837,8205696.53756466,9744383.58385617,6533012.14118509,5164413.36165428,6317478.95229562,8604999.61702,9122483.54407221,10401073.7643649,6740581.11672951,7651774.28874046,7040266.03689928,10822559.354913,5823413.60408448,8055503.73992049,7341730.76385496,9088837.07209447,8555462.06906096,8701283.09731547,6861657.54362359,9163033.95257046,6957311.44272398,8906007.78753802,7449220.9199211,6732255.28137951,7623146.56105052
"L-glutamic acid",8612418.4343776,9007955.09979798,9465938.38625842,7271795.25138804,10938403.2570532,8422484.26800811,6240376.12940355,7735362.48183478,8281723.73996076,9289299.24981358,7540801.5120678,7849512.35167618,7321688.72426534,8212542.61265461,6326025.47988182,9083723.76029298,8328204.98254483,9335736.06662955,10713515.4894638,5338217.03546683,6218560.43037736,6584580.17363772,7697580.10097165,3634558.80789521,5832235.74343,9718626.78474189,10594828.2166651,6586578.71156288,6368353.80392888,8774594.9279385,6495197.04023743,9585042.3980581,10771570.2563155,7316092.7858544,9390420.4419165,5329935.96354232,10308202.2414405,5774907.6554389,8126113.12500657,5914776.98855576,9466460.79825396,7436642.03959465,8965410.50052262,5982098.82123441,10517788.740645,6954988.17801386,6986578.62622359,6932514.50349922,5602644.52064455,7176581.30800825
"L-glutamine",428752.081484937,466499.735859837,427430.51765733,415620.441799836,510458.879246017,126808.554300634,355324.041397737,329057.81022126,230155.597463141,600162.647829405,349086.146544408,392899.578115931,129024.129232166,403235.273841977,354232.662800623,438497.053495122,387370.287799146,423817.817668614,486673.642698222,228606.835422327,394753.920599598,272797.200436878,415857.47160062,179431.69065307,235056.785303537,364428.380249162,565837.473408804,226364.521499416,159095.816975816,324137.789835332,229172.635356976,497193.841862622,404637.372732417,406843.640001184,394534.108754464,426639.717110147,519310.406481234,319297.523178183,330787.957093649,379063.173040309,380590.545605365,357914.239655898,389860.688320038,267291.034841206,721148.03140989,320245.937048069,343066.598390887,377550.305990804,300426.895930371,331202.974199771
"L-isoleucine",6031390.35412783,6628672.90504186,8292251.98357818,6870340.37820313,9131906.81234941,6314267.00308991,6587855.8106673,6527892.33151917,6749252.60297456,9013327.59008549,6938048.66505841,8323327.65236693,6512367.97290241,6806991.80729798,5920144.17470676,8435297.94750745,6032535.43676995,7003785.15490691,6579585.1005439,4670920.04435693,6704203.533441,4546380.10930997,7777854.47884735,3626272.84097793,5114797.92144806,7231919.94722174,7305515.2048226,5967699.23094738,5406976.53766974,5850483.82699895,5392932.07674519,7471205.83022633,7881955.52698686,6379409.09200081,7028486.40507814,6912037.70324581,9272275.68671203,5048898.21488905,5767874.70172919,6169246.66946712,8877443.51360349,6290482.51017926,7727057.12604334,4030567.5337205,8508884.50186403,6233483.87937575,6385335.9490531,6196123.28837357,5776949.49520237,5115486.50860576
"L-kynurenine",171355.225066408,254002.517689103,366558.404949712,302382.721275561,393327.405990233,236490.17164783,223331.505306242,345795.76448362,691154.002765095,358352.845778122,406111.425869975,358240.955308135,177758.41767979,490727.87270349,381492.161655272,517357.971419838,359185.105985292,759189.7874886,409180.536438738,400992.181802685,337379.289214888,293308.889301299,484014.193843799,195266.565460992,274738.373052159,279380.435693815,432919.270383567,321753.959015316,503402.601987514,494352.387899156,265695.490823221,425356.374439831,348938.267369084,387982.071241523,363900.832214581,254082.51335024,305171.035702948,114535.492886472,673030.085798279,377174.001424715,469557.358876478,426452.608631907,589736.366793852,261864.943862094,327460.51964064,361074.446680805,357346.211043447,307782.064022971,385325.96733246,450595.387158094
"L-leucine",10821755.3374065,12840184.6342686,16359299.6269055,13051193.528596,18356550.8523038,11638762.3164451,12628957.0646747,13611969.4600154,13189888.0704966,17255655.5586998,13807601.5811329,15782620.0785329,12372834.7724564,13920942.0345654,12149948.4833398,16788764.4737777,13452092.8487154,13574208.3393785,13966603.1185365,9365760.10680943,12185616.8555741,9460397.38575172,15727626.1075565,7347522.25828404,9404641.14008841,14032994.2562459,15188824.8567497,11728809.4717711,10297568.1595357,11921889.3326252,8494105.33824393,15069537.2549046,14905986.7872981,12241760.0500656,13932608.1105038,13822541.7559749,16954206.5029339,10409950.4386262,11766925.8065479,11961386.8491701,16973243.4087573,13643577.6336431,14454178.8324966,8040970.95952486,17488411.7267876,12528595.076112,12227522.5393601,11693323.6055754,11383503.0995014,10615962.5207587
"L-lysine",11060081,11912008,11866414,12273303,18164886,10851861,15928726,16815146,14233605,17462172,15197299,18739355,16504967,17251465,14249208,17086400,13763270,12037736,11379171,12586742,12187996,6163583,13703918,7087034,9315617,14549506,12117778,9344871,13446108,14608941,13706592,17119754,11216896,11591475,17484680,17028846,19127379,9093583,13978553,15222056,15942598,18634390,19907622,11280624,12183921,13482669,9504674,14403660,9391901,10343768
"L-malic acid",2641936.3324622,4703616.22779167,3485546.78769111,2949868.3183107,3887783.67714072,3388507.3076424,2751380.79695662,2938189.01559235,3485384.63669582,4199149.08825538,4455552.22323527,3961002.40103893,3517243.08457007,3448704.05711916,3306626.39464551,4331127.55972904,4199941.09452883,6651817.4826215,4557490.72252861,2828040.66746342,3894389.12144418,2934918.38105174,3818799.04543073,3081895.85150469,2795882.42212204,3588724.82724194,4114670.70422308,2773757.89436251,3536402.958064,3185605.36528592,2493966.75406709,3704189.83022778,4482933.2836029,3480777.23872529,3342006.56921919,3014526.16001376,6028676.36338182,2078641.54169065,2923163.7063874,2512408.66705925,3479224.65123009,2900460.65633491,3091081.55485999,2765598.65273142,4445469.1833462,3318732.84037454,3068423.59606474,3306294.1020305,2189436.06056748,3246448.89091585
"L-methionine",4552166,4864274,5603726,4835305,6662133,4988700,4839647,4373588,5637462,6429730,5137902,6197215,4825177,5893516,4680622,6221782,4702342,6216099,5446550,3445521,4745513,3790892,6456210,2692858,3539677,5252055,6318325,4338716,4527735,4479951,3774670,5608154,5315633,4857009,5395729,5187104,7322307,3586479,4441947,4380707,5882548,5233049,5747940,3659693,6999298,4627507,4210454,4665713,4293629,4175240
"L-ornithine",2991112,2467032,2741439,2368664,5194561,2922221,3238567,3110243,2384190,4942128,3606763,4946983,2887242,3344315,2865128,3941884,3457511,3676716,3722043,2501082,2812761,1631774,2844327,1400999,1709663,3833177,4091686,1754149,2860856,2249430,3279122,4157056,2793678,1998869,3901292,2462742,5063322,1702159,2445860,2331004,3336397,2781633,4580403,2613342,3185791,3284189,2190313,3705929,1735010,1854662
"L-phenylalanine",989091.771771872,1168678.16063422,1384491.16265052,1137967.31581382,1664102.26556337,1141078.63446241,1034545.33114995,1071885.67317673,1176257.38596609,1517382.14422462,1392676.08011785,1521164.39930609,1215576.76909913,1253927.82279152,1088369.68760292,1568985.19852168,1215433.83360792,1326976.6437899,1254008.62499357,853019.491744289,1132413.81959147,884768.162195141,1381048.65015842,765224.454867673,812723.233221401,1418776.00174586,1435134.37591824,1029922.9842747,905769.233669464,1068719.85189056,815470.413756399,1299645.09023874,1320649.14782205,1175265.35644689,1395297.0392971,1271504.83295212,1586694.59218947,787599.211801898,1055460.01452142,1034064.493549,1478904.16600427,1257903.91076872,1362188.31461161,766716.238656367,1567778.39378365,1174144.07135679,1048737.54618404,1110802.40920692,1049287.86784858,939183.331977562
"L-proline",12633341.7848548,14864386.859721,13957753.7603249,12702292.2392041,16591462.1173015,12302055.2973017,10576778.4970993,10913294.3486631,13371147.6880874,15061699.1314835,11609236.9147842,13703231.0698902,13585486.5073031,11644522.5025897,11591942.8614377,14141967.6947153,11719984.5975562,11537819.1351801,14209059.5114223,8842383.12288363,11060070.8436344,8354625.52205365,13214991.6432044,6267901.54902761,8791073.21998987,13325360.4041945,15927620.1947517,11585153.5791539,11384831.9590404,12880079.0381528,11537509.5437286,15564143.4145169,16511670.0072724,12874718.2135112,13695929.2082564,13885096.4304461,16147682.6931328,9778177.29129682,12514498.9573775,11773366.4377255,15671502.8792675,12450904.7136032,15992974.8793894,7909094.19905656,17299209.2596276,13290331.2441322,12197584.5115564,11933033.4156559,10111022.054317,9891283.56666725
"L-pyroglutamic acid",66095308.3473486,67637405.7663634,68347031.9455777,61296535.7111091,80137578.1406645,68717904.203099,58265858.7321879,63747708.3954594,67012448.4794922,77658436.7834642,67057565.3358003,65086546.9217155,66826760.6918761,68587480.2418212,61123982.0222899,78005684.9634192,68477372.0177898,78720051.4093684,81517104.5791393,57959356.8219869,62469972.0674166,61331399.6612181,69999883.6190344,44153851.7664191,59227718.2799159,72300454.2257727,75314329.732481,58563856.0325393,57838554.6779962,67991518.119629,63508991.4912258,74227191.2587195,77961145.5607074,64456641.6422496,70735155.6360764,55258853.2516496,78256700.8058966,57135867.8872767,67026331.5861814,58481863.1123776,75044488.3434767,64121927.4387763,72087303.8051401,59504456.0271672,78724462.6824978,65425409.363776,64995383.0117034,69759975.7165449,57561070.6252561,66076520.0222798
"L-serine",10848924.2709978,13216011.8818452,13942453.4821035,14779404.6041498,15469436.0325265,10181073.0530691,11976591.3833312,12106338.2065132,13543039.4051212,17152595.3257758,12739413.5828171,16400878.5143759,11836264.3597622,15138887.7338644,12181582.9289491,15612678.6958516,15277576.7219287,16327826.4892693,11330431.9850172,9175556.70197519,12081844.087297,9888200.89317251,18278747.549755,7741441.77389717,12085828.2485555,15085747.7095627,15214700.9752933,10851262.8543403,10441960.3410493,13588709.3655762,10173165.3709137,13698436.7654879,13219077.9753644,13030376.130339,15047788.2951444,12844375.5558187,17450902.0477228,11543929.4693169,14684145.5627759,10850119.9982996,13892653.7441676,12546877.1251972,14719309.4408314,8488296.72119832,17471767.7460297,12831533.5740022,12498569.0381092,12864280.2933491,11453080.9580936,11562698.3037923
"L-threonic acid",5660878.50332772,4015605.81987012,5533331.80319399,3317727.53365778,4290410.52538109,6176914.22496026,5418185.18058412,3857566.74493052,5566355.10385266,4566384.81753464,4411489.56345847,13868705.1316586,7628259.29380458,4031344.13939782,3124476.73923864,3800630.20386273,7426878.76349031,7224490.6590706,15195262.0040416,7743877.57904092,12195841.8975919,3026046.97009827,3729486.35862419,4775701.37253555,1880564.3138124,6211309.94637408,2571300.84994514,4343580.88935328,4419961.67672415,6251176.5874241,2310983.05889207,7971686.97128434,5189984.21627722,4785012.37800158,8857197.65200775,8415071.49903819,14965378.3363501,1369294.72134865,3421596.6611699,6792757.33009228,4576257.44018952,3744477.55775356,2190710.083146,4213471.23755234,2557024.5691711,10012850.085638,5373552.23947906,6075923.73239157,3398773.14128451,4124905.11707656
"L-threonine ",14007359.4738599,16071716.1462792,16366878.5313019,15246413.0146713,19987987.9952727,13600400.2314512,13861319.1841741,15886754.2418064,17300016.7537507,20989860.448058,15563533.1280363,14434529.0235027,13984334.7347579,20621563.3467826,12056456.9369993,15600367.5387889,11966455.5134041,17244667.6386979,23259477.66688,11862073.2103437,12312279.0049219,9926446.277452,15689069.852231,9126508.98381093,11077170.4798941,12344474.1291407,19072182.4928578,12949717.5762428,10933779.7438728,13755411.5025473,13001703.4127357,17603435.5500803,15914161.1627141,12066508.9809646,13975353.0689868,16033489.5728779,23344357.8768209,12174670.6371474,13074459.5760259,13099151.6069753,19382912.7359302,15435292.9894068,18331002.8379361,12173904.3089011,26783437.4632295,13529326.6471748,12195290.3213261,12264460.5842759,11526076.9947987,16209497.552263
"L-tyrosine",2557040.65486401,2289397.87730109,3304137.606846,2655054.16527772,3461048.69623259,2612005.16334602,2600213.73020305,2675676.79593174,3160456.6414465,3343531.05072241,3523362.89735727,3708299.6696769,2598884.15929264,3499177.20715949,2586102.57680118,3696462.74526903,2169646.81355456,2969400.14454964,2647002.22315554,2847659.08498632,2314944.99973128,1659998.53600246,3090966.69787293,1368059.18702007,1632528.95522346,2425261.17305226,3043246.99817507,1691632.15615086,2342732.21791945,2299414.91875276,2125959.18409914,2912526.75465694,2429883.85168049,2882096.6148077,3069743.22926404,2765000.57779955,3233454.17704312,1518129.85301289,1991104.6737467,2124220.8438764,2850524.64547922,2609596.41848315,3026191.46047074,1800277.40861668,2888173.26668322,2132319.3357686,2228380.85524006,2413209.41047916,2061520.06426641,1925421.51987318
"L-valine",13119473.1655117,14494466.8389616,16049593.7988897,16082300.7968708,19856527.8326473,12301837.930406,14217213.8785264,15168238.9199568,14117498.9342268,20074841.8244986,16048308.052382,17331927.0379363,15535914.2925956,15426749.5154722,13031844.0376153,17948196.623773,14322791.9594673,14891682.7477098,17393635.9894418,10547844.0218152,13618070.4038249,11055962.2260154,15598444.6842985,9818039.09377196,10623675.9550156,14779498.0591832,16166312.8785817,13747347.7142186,13238086.3950484,14089158.7819912,12380430.3389828,16439898.6554394,17394923.4066398,13193174.8489614,15067447.87275,15385078.6476276,18235970.3196228,12124914.0262383,12857353.4778464,13899422.4606227,18914306.29591,16435131.0664552,18420175.2585969,9346726.72249454,18016971.7830705,14929451.8533372,13822451.0555682,13670621.9388701,12936619.0498672,12747859.1949324
"malonic acid",7335514.08562292,5677282.05195101,5771232.27436336,8063538.42043779,7816031.05802481,7728157.19504807,7967391.57486019,7465329.03533545,7415402.00159984,8654591.9244155,9583904.77939031,6999116.5570687,8364457.14581787,8613812.10264346,6889109.72730369,11736319.9316504,6654679.27185871,9599865.7346223,6330657.7343621,7946304.26669653,6248467.37105707,5168878.33526776,6775253.99746866,5376708.03889959,5526491.44013075,5938914.72409548,7027159.66092045,5147294.15127838,6451456.6214657,6378519.91025208,8792039.51376159,7077035.12180191,6399507.42467418,6770167.29793631,7144224.27175637,5257576.59300387,9434434.89156996,5837014.32219088,5618061.69465797,6476067.54133006,7352121.51502205,5939548.43204707,7298140.95452079,5909050.82754425,5376944.809256,6814326.14858221,5642389.13341931,8422794.74282741,5048571.05050006,6406456.38040909
"maltotriose",206504.918212866,1042667.31833527,451389.23303412,466020.98377602,1028294.13142539,606572.491744649,773170.123162152,233430.262731806,609481.269878286,1326385.9418087,959983.425860054,282949.75984866,563706.893000533,321649.144451416,631898.639032549,649619.378015392,713023.9367181,1114582.16619506,701096.951438686,262458.815143128,712557.004639249,391112.584081025,341585.504011275,773931.407732363,360064.037065394,262259.625426752,344209.936467038,114910.986613012,509550.833477994,269796.493208094,334998.122160062,412815.735014275,942189.691272128,680382.298498946,653366.33155929,523906.06778041,1064581.63385855,37787.83470036,219612.062552733,264354.376092781,393583.220922042,130739.89810207,451301.598459062,880792.88604784,199855.562799221,276846.272246352,444104.524361688,345378.378462799,206198.748200936,579379.27583362
"methyl phosphate",7750301.53886391,6416570.81746589,6037766.22261307,5590404.55685604,8385182.8997528,6175213.39344058,5298208.6095948,5479946.47415518,5549547.9994427,7844355.9499194,6387859.46946787,7689678.30048116,7687315.18384272,6199013.3263742,6247056.84738228,7139793.718951,6541219.19310373,7201495.01406554,7645763.04202363,7140170.63062835,5824152.48616086,5005114.52397098,3857318.09765769,4322712.18020996,4336865.8728104,8387865.24572405,7351084.46379809,6108987.69206174,6397794.16070751,8095338.2504138,6985764.56621726,6482313.55198321,6439370.87865056,5141218.08335437,9972124.95158204,6091552.82259914,10315997.8296284,5164490.78957796,6175908.97116788,5354931.63743464,9746814.06764591,7633205.04540765,10424338.7839273,9023129.39890663,8889217.7911654,5668194.22439629,6675129.84349683,9529364.9809349,5824696.41600485,6896512.7947157
